Year,Rate of ice sheet mass change (mm sea level/yr),Rate of ice sheet mass change uncertainty (mm sea level/yr),Cumulative ice sheet mass change (mm sea level),Cumulative ice sheet mass change uncertainty (mm sea level),Rate of mass balance anomaly uncertainty (mm sea level/yr),Cumulative surface mass balance anomaly (mm sea level/yr),Cumulative surface mass balance anomaly (mm sea level),Cumulative surface mass balance anomaly uncertainty (mm sea level),Rate of ice dynamics anomaly (mm sea level/yr),Rate of ice dyanamics anomaly uncertainty (mm sea level/yr),Cumulative ice dynamics anomaly (mm sea level),Cumulative ice dynamics anomaly uncertainty (mm sea level)
2015.33,0.55,0.16,9.60,0.90,0.27,0.23,4.98,1.32,0.27,0.28,4.70,1.41
2015.42,0.55,0.16,9.64,0.90,0.27,0.23,5.00,1.32,0.27,0.28,4.72,1.41
2015.50,0.55,0.17,9.69,0.90,0.27,0.23,5.02,1.32,0.28,0.28,4.74,1.41
2015.58,0.55,0.17,9.73,0.90,0.27,0.23,5.05,1.32,0.28,0.28,4.77,1.42
2015.67,0.55,0.17,9.78,0.90,0.27,0.23,5.07,1.32,0.28,0.28,4.79,1.42
2015.75,0.55,0.17,9.82,0.91,0.27,0.23,5.09,1.32,0.28,0.28,4.81,1.42
2015.83,0.55,0.17,9.87,0.91,0.27,0.23,5.12,1.33,0.28,0.28,4.83,1.42
2015.92,0.55,0.17,9.92,0.91,0.27,0.23,5.14,1.33,0.28,0.28,4.86,1.43
2016.00,0.64,0.17,9.97,0.91,0.48,0.24,5.18,1.33,0.16,0.30,4.87,1.43
2016.08,0.64,0.17,10.02,0.91,0.48,0.24,5.22,1.33,0.16,0.30,4.88,1.43
2016.17,0.64,0.17,10.08,0.91,0.48,0.24,5.26,1.33,0.16,0.30,4.90,1.43
2016.25,0.64,0.17,10.13,0.91,0.48,0.24,5.30,1.33,0.16,0.30,4.91,1.44
2016.33,0.64,0.17,10.18,0.92,0.48,0.24,5.34,1.34,0.16,0.30,4.92,1.44
2016.42,0.64,0.17,10.24,0.92,0.48,0.24,5.38,1.34,0.16,0.30,4.94,1.44
2016.50,0.64,0.17,10.29,0.92,0.48,0.24,5.42,1.34,0.16,0.30,4.95,1.44
2016.58,0.75,0.18,10.35,0.92,0.48,0.24,5.46,1.34,0.26,0.30,4.97,1.45
2016.67,0.75,0.18,10.42,0.92,0.48,0.24,5.50,1.34,0.26,0.30,4.99,1.45
2016.75,0.75,0.18,10.48,0.92,0.48,0.24,5.54,1.34,0.26,0.30,5.02,1.45
2016.83,0.75,0.18,10.54,0.92,0.48,0.24,5.58,1.35,0.26,0.30,5.04,1.45
2016.92,0.75,0.18,10.60,0.93,0.48,0.24,5.62,1.35,0.26,0.30,5.06,1.46
2017.00,0.23,0.21,10.62,0.93,-0.09,0.31,5.62,1.35,0.32,0.37,5.09,1.46
2017.08,0.23,0.21,10.64,0.93,-0.09,0.31,5.61,1.35,0.32,0.37,5.11,1.46
2017.17,0.23,0.21,10.66,0.93,-0.09,0.31,5.60,1.36,0.32,0.37,5.14,1.47
2017.25,0.23,0.21,10.68,0.93,-0.09,0.31,5.59,1.36,0.32,0.37,5.17,1.47
2017.33,0.23,0.21,10.70,0.94,-0.09,0.31,5.59,1.36,0.32,0.37,5.19,1.48
2017.42,0.23,0.21,10.72,0.94,-0.09,0.31,5.58,1.37,0.32,0.37,5.22,1.48
2017.50,0.23,0.21,10.74,0.94,-0.09,0.31,5.57,1.37,0.32,0.37,5.25,1.48
2017.58,0.23,0.21,10.76,0.94,-0.09,0.31,5.56,1.37,0.32,0.37,5.28,1.49
2017.67,0.23,0.21,10.78,0.94,-0.09,0.31,5.56,1.37,0.32,0.37,5.30,1.49
2017.75,0.23,0.21,10.80,0.95,-0.09,0.31,5.55,1.38,0.32,0.37,5.33,1.50
2017.83,0.23,0.21,10.82,0.95,-0.09,0.31,5.54,1.38,0.32,0.37,5.36,1.50
2017.92,0.23,0.21,10.84,0.95,-0.09,0.31,5.53,1.38,0.32,0.37,5.38,1.50
2018.00,0.21,0.18,10.86,0.95,-0.13,0.21,5.52,1.38,0.34,0.28,5.41,1.51
2018.08,0.40,0.16,10.89,0.95,-0.13,0.21,5.51,1.39,0.53,0.27,5.46,1.51
2018.17,0.40,0.16,10.92,0.95,-0.13,0.21,5.50,1.39,0.53,0.27,5.50,1.51
2018.25,0.40,0.16,10.96,0.95,-0.13,0.21,5.49,1.39,0.53,0.27,5.54,1.51
2018.33,0.40,0.16,10.99,0.95,-0.13,0.21,5.48,1.39,0.53,0.27,5.59,1.51
2018.42,0.40,0.16,11.02,0.96,-0.13,0.21,5.47,1.39,0.53,0.27,5.63,1.52
2018.50,0.40,0.16,11.06,0.96,-0.13,0.21,5.46,1.39,0.53,0.27,5.67,1.52
2018.58,0.40,0.16,11.09,0.96,-0.13,0.21,5.45,1.39,0.53,0.27,5.72,1.52
2018.67,0.40,0.16,11.12,0.96,-0.13,0.21,5.44,1.40,0.53,0.27,5.76,1.52
2018.75,0.40,0.16,11.16,0.96,-0.13,0.21,5.43,1.40,0.53,0.27,5.81,1.52
2018.83,0.40,0.16,11.19,0.96,-0.13,0.21,5.42,1.40,0.53,0.27,5.85,1.53
2018.92,0.40,0.16,11.22,0.96,-0.13,0.21,5.41,1.40,0.53,0.27,5.89,1.53
